uid,count,oneMeans,bestMeans,diff,logCount
105,113,0.571428571428571,0.428571428571429,-0.142857142857143,4.7361984483945
106,70,1,1,0,4.26267987704132
107,31,1,1,0,3.46573590279973
110,55,0.777777777777778,0.777777777777778,0,4.02535169073515
112,76,0.714285714285714,0.714285714285714,0,4.34380542185368
115,42,1,1,0,3.76120011569356
116,72,1,1,0,4.29045944114839
119,99,1,1,0,4.60517018598809
121,47,1,1,0,3.87120101090789
123,38,1,1,0,3.66356164612965
126,38,1,1,0,3.66356164612965
127,41,1,1,0,3.73766961828337
129,95,0.833333333333333,0.833333333333333,0,4.56434819146784
135,73,1,1,0,4.30406509320417
137,50,0.5,1,0.5,3.93182563272433
139,20,1,1,0,3.04452243772342
140,42,1,1,0,3.76120011569356
143,34,0.8,0.8,0,3.55534806148941
145,13,0,0,0,2.63905732961526
146,52,0.5,0.5,0,3.97029191355212
147,211,0.545454545454545,0.545454545454545,0,5.35658627467201
152,85,0.892857142857143,0.892857142857143,0,4.45434729625351
153,50,0.75,0.75,0,3.93182563272433
154,38,0.5,0.5,0,3.66356164612965
157,82,0.75,0.75,0,4.4188406077966
160,32,0.75,0.75,0,3.49650756146648
161,85,0.75,0.75,0,4.45434729625351
164,36,0.75,0.75,0,3.61091791264422
165,51,1,1,0,3.95124371858143
166,54,1,0.5,-0.5,4.00733318523247
172,43,0.5,0.5,0,3.78418963391826
174,18,0.75,0.75,0,2.94443897916644
176,50,1,1,0,3.93182563272433
178,100,0.833333333333333,0.833333333333333,0,4.61512051684126
